X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
-7685038.89820421,5548923.07020347,31,USA,1,2.01061929829747,0,1,
-7718930.06640572,5534381.88101502,32,USA,1,2.01061929829747,0,1,
-7832971.41057286,5283483.58229408,33,USA,1,2.01061929829747,0,0,
-7841394.00775595,5288210.3646972,34,USA,1,2.01061929829747,0,0,
-7837650.69516783,5289713.3199518,35,USA,1,2.01061929829747,0,0,
-7870866.38589872,5187162.92861029,36,USA,1,2.01061929829747,0,1,
-8065163.58364699,5322338.17090262,37,USA,1,2.01061929829747,0,0,
-7951185.96144716,6182211.53919099,38,CAN,1,2.01061929829747,0,0,
-8004513.02700804,6185933.79487403,39,CAN,1,2.01061929829747,0,0,
-8002591.21731667,6188905.10167762,40,CAN,1,2.01061929829747,0,0,
-8018001.71681838,6185372.1021137,41,CAN,1,2.01061929829747,0,0,
-8022905.73565659,6187429.5739683,42,CAN,1,2.01061929829747,0,0,
-8010858.4133812,6193056.35103811,43,CAN,1,2.01061929829747,0,0,
-8015098.47953875,6182746.55300574,44,CAN,1,2.01061929829747,0,0,
-8016725.86949219,6181091.77056194,45,CAN,1,2.01061929829747,0,0,
-7906130.92259497,6203252.41436874,46,CAN,1,2.01061929829747,0,0,
-7998959.31719749,6200795.17113127,47,CAN,1,2.01061929829747,0,0,
